Phaethon aethereus,Red-billed_Tropicbird
Mergus serrator,Red-breasted_Merganser
Sitta canadensis,Red-breasted_Nuthatch
Sphyrapicus ruber,Red-breasted_Sapsucker
Pipra mentalis,Red-capped_Manakin
Picoides borealis,Red-cockaded_Woodpecker
Amazona viridigenalis,Red-crowned_Amazon
Vireo olivaceus,Red-eyed_Vireo
Phalacrocorax urile,Red-faced_Cormorant
Sula sula,Red-footed_Booby
Melanerpes erythrocephalus,Red-headed_Woodpecker
Rissa brevirostris,Red-legged_Kittiwake
Amazona autumnalis,Red-lored_Amazon
Sphyrapicus nuchalis,Red-naped_Sapsucker
Podiceps grisegena,Red-necked_Grebe
Phalaropus lobatus,Red-necked_Phalarope
Calidris ruficollis,Red-necked_Stint
Buteo lineatus,Red-shouldered_Hawk
Buteo jamaicensis,Red-tailed_Hawk
Phaethon rubricauda,Red-tailed_Tropicbird
Anthus cervinus,Red-throated_Pipit
Egretta rufescens,Reddish_Egret
Emberiza schoeniclus,Reed_Bunting
Pharomachrus mocinno,Resplendent_Quetzal
Cerorhinca monocerata,Rhinoceros_Auklet
Larus delawarensis,Ring-billed_Gull
Megaceryle torquata,Ringed_Kingfisher
Buteo magnirostris,Roadside_Hawk
Lagopus muta,Rock_Ptarmigan
Calidris ptilocnemis,Rock_Sandpiper
Salpinctes obsoletus,Rock_Wren
Pachyramphus aglaiae,Rose-throated_Becard
Platalea ajaja,Roseate_Spoonbill
Sterna dougallii,Roseate_Tern
Chen rossii,Ross's_Goose
Buteo lagopus,Rough-legged_Hawk
Sterna maxima,Royal_Tern
Regulus calendula,Ruby-crowned_Kinglet
Archilochus colubris,Ruby-throated_Hummingbird
Laterallus ruber,Ruddy_Crake
Oxyura jamaicensis,Ruddy_Duck
Dendrocincla homochroa,Ruddy_Woodcreeper
Catharus frantzii,Ruddy-capped_Nightingale-thrush
Terenotriccus erythrurus,Ruddy-tailed_Flycatcher
Bonasa umbellus,Ruffed_Grouse
Selasphorus rufus,Rufous_Hummingbird
Rhytipterna holerythra,Rufous_Mourner
Lipaugus unirufus,Rufous_Piha
Thryothorus rufalbus,Rufous-and-white_Wren
Ortalis wagleri,Rufous-bellied_Chachalaca
Cyclarhis gujanensis,Rufous-browed_Peppershrike
Troglodytes rufociliatus,Rufous-browed_Wren
Turdus rufitorques,Rufous-collared_Robin
Zonotrichia capensis,Rufous-collared_Sparrow
Aimophila ruficeps,Rufous-crowned_Sparrow
Campylorhynchus rufinucha,Rufous-naped_Wren
Galbula ruficauda,Rufous-tailed_Jacamar
Thamnistes anabatinus,Russet_Antshrike
Catharus occidentalis,Russet_Nightingale-thrush
Momotus mexicanus,Russet-crowned_Motmot
Melozone kieneri,Rusty-crowned_Ground-sparrow
